datetime,competition,match,FT result,h2hmatches,h2hgoals,h2h goals/match,total goals,to bet,btts,goalsFest,,,,
20-10-2018 19:45,Netherlands >  Eredivisie 2018/2019,sc Heerenveen - AFC Ajax,0:4 (0:2),78,327,"4,19","4,00",TRUE,FALSE,FALSE,,,50,-50
20-10-2018 22:15,Bolivia >  Liga Profesional 2018 Clausura,The Strongest - CD Guabirá,6:0 (4:0),39,139,"3,56","6,00",TRUE,FALSE,FALSE,,,60,-60
21-10-2018 13:30,Scotland >  Premiership 2018/2019,Hamilton Academical - Rangers FC,1:4 (0:1),112,409,"3,65","5,00",TRUE,TRUE,TRUE,,,70,"60,9"
21-10-2018 22:00,USA >  Major League Soccer 2018,Minnesota United FC - Los Angeles Galaxy,1:3 (0:1),17,68,"4,00","4,00",TRUE,TRUE,TRUE,,,60,"52,2"
22-10-2018 19:00,England >  Premier League 2 Div. 2 2018/2019,Aston Villa U23 - Newcastle United U23,2:5 (2:4),22,80,"3,64","7,00",TRUE,TRUE,TRUE,,,50,"43,5"
23-10-2018 10:00,UEFA >  Youth Youth League 2018/2019 > Group F,Shakhtar Donetsk - Manchester City,1:1 (0:0),6,23,"3,83","2,00",TRUE,TRUE,FALSE,,,40,-40
23-10-2018 13:00,UEFA >  Youth Youth League 2018/2019 > Group E,AFC Ajax - SL Benfica,3:0 (1:0),3,12,"4,00","3,00",TRUE,FALSE,FALSE,,,50,-50
23-10-2018 14:00,UEFA >  Youth Youth League 2018/2019 > Group F,1899 Hoffenheim - Olympique Lyonnais,3:1 (0:0),2,10,"5,00","4,00",TRUE,TRUE,TRUE,,,60,"52,2"
23-10-2018 20:00,UEFA >   Champions League 2018/2019 > Group F,1899 Hoffenheim - Olympique Lyonnais,3:3 (1:1),3,14,"4,67","6,00",TRUE,TRUE,TRUE,,,50,"43,5"
24-10-2018 13:00,UEFA >  Youth Youth League 2018/2019 > Group A,Club Brugge KV - AS Monaco,2:3 (1:1),2,9,"4,50","5,00",TRUE,TRUE,TRUE,,,40,"34,8"
24-10-2018 17:55,UEFA >   Champions League 2018/2019 > Group A,Club Brugge KV - AS Monaco,1:1 (1:1),4,14,"3,50","2,00",TRUE,TRUE,FALSE,,,30,-30
25-10-2018 17:55,UEFA >   Europa League 2018/2019 > Group A,FC Zürich - Bayer Leverkusen,3:2 (1:0),4,16,"4,00","5,00",TRUE,TRUE,TRUE,,,40,"34,8"
26-10-2018 19:00,Netherlands >  Eerste Divisie 2018/2019,FC Volendam - Jong Ajax,3:1 (1:0),23,94,"4,09","4,00",TRUE,TRUE,TRUE,,,30,"26,1"
26-10-2018 19:00,Netherlands >  Eerste Divisie 2018/2019,FC Twente - Almere City FC,1:0 (1:0),8,34,"4,25","1,00",TRUE,FALSE,FALSE,,,20,-20
27-10-2018 12:00,England >  Premier League 2 2018/2019,Chelsea FC U23 - Brighton & Hove Albion U23,2:3 (0:2),11,41,"3,73","5,00",TRUE,TRUE,TRUE,,,30,"26,1"
27-10-2018 14:30,Germany >  Bundesliga 2018/2019,1. FSV Mainz 05 - Bayern München,1:2 (0:1),40,165,"4,13","3,00",TRUE,TRUE,TRUE,,,20,"17,4"
28-10-2018 13:30,Netherlands >  Eredivisie 2018/2019,AFC Ajax - Feyenoord,3:0 (2:0),159,562,"3,53","3,00",TRUE,FALSE,FALSE,,,10,-10
28-10-2018 15:45,Netherlands >  Eredivisie 2018/2019,AZ Alkmaar - sc Heerenveen,2:3 (1:1),64,233,"3,64","5,00",TRUE,TRUE,TRUE,,,20,"17,4"
29-10-2018 19:00,England >  Premier League 2 Div. 2 2018/2019,West Bromwich Albion U23 - Aston Villa U23,1:1 (1:0),19,69,"3,63","2,00",TRUE,TRUE,FALSE,,,10,-10
31-10-2018 19:30,Belgium >  Pro League 2018/2019,KV Kortrijk - Waasland-Beveren,2:2 (2:0),26,95,"3,65","4,00",TRUE,TRUE,TRUE,,,20,"17,4"
